	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
735	7547479						
736	7547699						
737	7548116						
738	7548214						
739	7548746						
740	7548837	0.3879	0.3874	0.3157	0.2628	0.254	0.2719
741	7548851						
742	7549093						
743	7549193						
744	7549435						
745	7549467						
746	7549982						
747	7550017						
748	7550226						
749	7550331						
750	7550343						
751	7550349						
752	7550352	0.6608	0.7105	0.7295	0.7419	0.7501	0.7671
753	7550356	1.0	1.0	0.9115	0.7923	0.7496	0.7988
754	7550376						
755	7550681	0.0	0.0	0.1364	0.1135	0.0983	0.097
756	7550723						
757	7550727						
758	7550744						
759	7550745						
760	7551119						
761	7551342	0.0	0.0	0.0	0.0323	0.0369	0.0408
762	7551947						
763	7551976						
764	7552174						
765	7552687						
766	7552962						
767	7552993						
768	7553060						
769	7553084						
770	7553599	0.0	0.0	0.0648	0.1243	0.1795	0.2243
771	7553620	0.214	0.1389	0.245	0.2387	0.2067	0.1609
772	7553622						
773	7553629						
774	7553863						
775	7553864						
776	7553870						
777	7554030						
778	7554031	0.2773	0.2256	0.1749	0.2119	0.2282	0.254
779	7554047						
780	7554087	0.6992	0.6749	0.6119	0.6441	0.6113	0.6101
781	7554431						
782	7554623						
783	7554630						
784	7556215						
785	7556394						
786	7556445						
787	7556851						
788	7556901						
789	7556959						
790	7557151						
791	7557155						
792	7557386						
793	7557400						
794	7557433						
795	7557508						
796	7557972						
797	7558142						
798	7558152						
799	7558329						
800	7558620						
801	7559097						
802	7559151						
803	7559313						
804	7559437						
805	7559441						
806	7559468						
807	7559497						
808	7559507	0.0	0.0	0.0427	0.0703	0.087	0.1798
809	7559546						
810	7559579						
811	7559608						
812	7559624						
813	7559641						
814	7559732	1.0	0.9337	0.9486	0.9572	0.8817	0.8374
815	7559878						
816	7559948						
817	7560009						
818	7560099						
819	7560174						
820	7560270						
821	7560521						
822	7560905						
823	7561089						
824	7561135						
825	7561166						
826	7561759						
827	7561785	0.6548	0.5619	0.5667	0.5405	0.6732	0.815
828	7561949						
829	7562095						
830	7562114						
831	7562165						
832	7562301						
833	7562496						
834	7562498						
835	7562525						
836	7562556						
837	7562607	0.2281	0.2043	0.1856	0.2169	0.2027	0.2307
838	7562961						
839	7563143	0.1696	0.2528	0.2884	0.2401	0.2884	0.4347
840	7563171						
841	7563216						
842	7563236						
843	7564390						
