	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
3128	29750013	0.7739	0.7446	0.7445	0.7096	0.7161	0.8319
3129	29750052	0.5969	0.5417	0.5985	0.5837	0.6474	0.7936
3130	29750146	0.76	0.7457	0.773	0.7434	0.7328	0.7918
3131	29750193	0.5734	0.6807	0.6747	0.7292	0.7006	0.8718
3132	29751251	0.6864	0.7442	0.7426	0.741	0.7583	0.8391
3133	29752528	0.76	0.7364	0.6924	0.6323	0.6391	0.8169
3134	29756036	0.1935	0.2655	0.3536	0.3764	0.4767	0.6111
3135	29757226	0.589	0.5978	0.599	0.5777	0.5981	0.8095
3136	29757235	0.3333	0.4743	0.4349	0.461	0.5193	0.6963
3137	29758769	0.8869	0.8777	0.9052	0.9211	0.9138	0.8955
3138	29762066	0.6469	0.6697	0.6838	0.6467	0.6941	0.849
3139	29764427	1.0	0.9537	0.8886	0.8853	0.9007	0.8983
3140	29766399	1.0	1.0	0.9701	0.9404	0.9484	0.888
3141	29768297	0.6878	0.5813	0.554	0.5625	0.6102	0.8005
3142	29771283	0.7227	0.8201	0.8144	0.8455	0.8486	0.9264
3143	29774740	0.5339	0.562	0.6003	0.5995	0.6323	0.8195
3144	29774971	0.6456	0.77	0.7616	0.701	0.7227	0.8115
3145	29775763	1.0	0.9537	0.904	0.8526	0.8364	0.9172
3146	29778192	0.5148	0.6851	0.6662	0.6447	0.6384	0.7675
3147	29778199	0.7021	0.5889	0.6386	0.7217	0.7511	0.8066
3148	29782873	0.4966	0.5829	0.6158	0.6028	0.638	0.8058
3149	29788935	0.7443	0.6964	0.7356	0.7348	0.7525	0.852
3150	29789544	0.8869	0.7839	0.7125	0.7043	0.6903	0.8644
3151	29790511	0.8151	0.7643	0.6951	0.6941	0.699	0.7945
3152	29790638	0.2026	0.3127	0.4097	0.4277	0.4882	0.637
3153	29790918	0.3333	0.3757	0.434	0.5001	0.5766	0.7467
3154	29795719	0.9125	0.8991	0.8616	0.8186	0.8071	0.9185
3155	29799671	1.0	1.0	1.0	0.9773	0.9629	0.9264
3156	29799677	0.8688	0.756	0.757	0.7591	0.7622	0.8761
3157	29799806	0.9026	0.8944	0.8299	0.8677	0.8748	0.9433
3158	29802435	0.519	0.5058	0.4709	0.5224	0.5224	0.6488
3159	29802856	0.6864	0.6739	0.6874	0.672	0.6705	0.8072
3160	29803380	0.6568	0.6114	0.6329	0.6969	0.6912	0.7936
3161	29843425	0.7896	0.7623	0.7582	0.7325	0.7152	0.8291
3162	29844394	1.0	1.0	1.0	1.0	0.9816	0.9628
3163	29844489	0.7739	0.6715	0.5969	0.5759	0.5836	0.7959
3164	29845898	0.8869	0.783	0.7428	0.6961	0.7606	0.8637
3165	29847813	0.6985	0.7581	0.7826	0.7958	0.7867	0.8608
3166	29850150	1.0	1.0	0.9693	0.9744	0.9778	0.986
3167	29850267	0.7261	0.5496	0.6117	0.5979	0.6077	0.822
3168	29850798	0.2896	0.3765	0.3826	0.3741	0.3863	0.6196
3169	29850911	0.2591	0.2539	0.2737	0.3273	0.4032	0.5801
3170	29852217	0.4117	0.4763	0.4763	0.5014	0.5014	0.6421
3171	29856133	0.9026	0.9368	0.9211	0.9343	0.9156	0.9173
3172	29864723	0.6765	0.6996	0.7373	0.7143	0.7526	0.8414
3173	29867044	0.6097	0.519	0.5664	0.5539	0.5574	0.7646
3174	29868486	0.6725	0.5532	0.5326	0.5369	0.5774	0.7237
3175	29874299	0.5029	0.4945	0.5797	0.5984	0.5859	0.7227
3176	29874812	1.0	1.0	1.0	0.9777	0.9807	0.9597
3177	29875707	1.0	1.0	0.9077	0.8574	0.841	0.9486
3178	29875735	0.1638	0.2278	0.3366	0.4297	0.4613	0.6776
3179	29877056	0.9125	0.9432	0.956	0.9402	0.921	0.9171
3180	29884995	0.9026	0.8437	0.8789	0.8769	0.8755	0.8845
3181	29885764	1.0	0.9048	0.9262	0.9159	0.9088	0.9205
3182	29902117	0.786	0.7202	0.7831	0.7971	0.7793	0.825
3183	29910040	0.0	0.0	0.0891	0.1675	0.1675	0.2989
3184	29925657	0.589	0.7333	0.7625	0.7576	0.7189	0.8482
3185	29931279	0.76	0.8442	0.8039	0.7807	0.783	0.8684
3186	29955582	0.7739	0.8091	0.7922	0.7827	0.7673	0.8343
3187	29955818	1.0	1.0	0.9392	0.9055	0.9003	0.9105
3188	29968278	1.0	0.8149	0.794	0.7628	0.7409	0.861
3189	29988960	0.5594	0.5263	0.6054	0.6343	0.6575	0.8149
3190	29990624	0.6469	0.5549	0.5222	0.5756	0.6091	0.7222
3191	Average	0.6464	0.629	0.632	0.6407	0.6553	0.7714
