	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
914	7586979	0.0	0.0	0.0	0.0341	0.0295	0.038
915	7586995						
916	7587109						
917	7587126						
918	7587891	0.8869	0.7054	0.7111	0.7363	0.7268	0.6875
919	7588050						
920	7588051	0.7896	0.7557	0.6752	0.6724	0.6354	0.5893
921	7588061	1.0	0.9216	0.848	0.8394	0.8609	0.7809
922	7588074						
923	7588253						
924	7588336						
925	7588416						
926	7588575						
927	7588628						
928	7588712						
929	7588759						
930	7588883						
931	7589067						
932	7589072						
933	7589080						
934	7589118						
935	7589218						
936	7589234						
937	7589239						
938	7589243						
939	7589251						
940	7589553						
941	7589576						
942	7589986						
943	7590247						
944	7590289						
945	7590597						
946	7591984						
947	7591985						
948	7592019						
949	7592117						
950	7592373						
951	7592558						
952	7592607						
953	7592646						
954	7592778						
955	7592786						
956	7592792						
957	7592797						
958	7592805						
959	7592865						
960	7592868	0.214	0.2173	0.2132	0.1775	0.1775	0.2593
961	7592888						
962	7592957						
963	7593131	1.0	0.9266	0.9431	0.9192	0.8767	0.7597
964	7593132						
965	7593161						
966	7593162						
967	7593195						
968	7593201						
969	7593235						
970	7593294						
971	7593324						
972	7593373						
973	7593839						
974	7593954						
975	7595373						
976	7595533						
977	7595652	0.6608	0.5645	0.6624	0.719	0.6758	0.62
978	7595656	1.0	0.8842	0.8804	0.8781	0.868	0.8201
979	7596330						
980	7596401						
981	7596416						
982	7596885						
983	7596985						
984	7597575						
985	7597725						
986	7598472	0.2591	0.2375	0.2751	0.2961	0.2825	0.3091
987	7598484	0.3392	0.2985	0.2456	0.3496	0.3027	0.3984
988	7598661						
989	7598724						
990	7598792						
991	7598821						
992	7599127						
993	7599146						
994	7599175						
995	7599278						
996	7599527						
997	7599646						
998	7599787	0.8539	0.861	0.7562	0.797	0.7716	0.7453
999	7599939						
1000	7600571	0.5531	0.3802	0.3092	0.2575	0.277	0.2703
1001	7600845						
1002	7600886						
1003	7600952						
1004	7600984						
1005	7600991	0.2364	0.3567	0.3514	0.3937	0.4574	0.5094
1006	7601109						
1007	7601120						
1008	7601132						
1009	7601225						
1010	7601313	0.6878	0.6554	0.6113	0.6314	0.5828	0.5941
1011	7601450						
1012	7601451						
1013	7601470						
1014	7601860						
1015	7602098	0.4852	0.3149	0.2441	0.238	0.206	0.1883
1016	7602133	0.0	0.0	0.0437	0.0364	0.0591	0.2921
1017	7602140						
1018	7602148						
1019	7602395						
1020	7602535						
1021	7602615						
1022	7602769						
1023	7602788						
1024	7603052						
1025	7603412						
1026	7603459						
1027	7603463						
1028	7603620						
1029	7603980						
1030	7604476						
1031	7604534						
1032	7604852						
1033	7604885	0.0	0.0	0.0	0.0	0.0	0.1051
1034	7605419						
1035	7605932						
1036	7605936						
1037	7606080						
1038	7606088						
1039	7606090						
1040	7606169						
1041	7606213						
1042	7606218						
1043	7606242						
1044	7606361						
1045	7606455						
1046	7606479						
1047	7606712	1.0	0.8391	0.7279	0.6735	0.601	0.5227
1048	7606714						
1049	7606717						
1050	7606733						
1051	7606737						
1052	7606818	0.0565	0.0819	0.0784	0.1	0.1406	0.1765
1053	7607168						
1054	7607649						
1055	7607683						
1056	7608133						
1057	7608180						
1058	7608468						
1059	7608488						
1060	7608666						
1061	7608718						
1062	7608738						
1063	7608765						
1064	7608886						
1065	7608968						
1066	7609044						
1067	7609634						
1068	7609640						
1069	7609922						
1070	7610317						
1071	7610485						
1072	7611436						
1073	7611559						
1074	7611715	0.7113	0.6438	0.6495	0.6747	0.6642	0.7176
1075	7612215						
1076	7612243						
1077	7612661	0.6312	0.6129	0.6999	0.6942	0.6636	0.67
1078	7612670						
1079	7612694						
1080	7612823						
1081	7612831						
1082	7613282						
1083	7613464						
1084	7613482						
1085	7613517						
1086	7613534						
1087	7614395	0.2443	0.4654	0.5429	0.5854	0.5867	0.6452
1088	7614465						
1089	7614678						
1090	7614681						
1091	7614700						
1092	7614702						
1093	7614713	0.0	0.0662	0.099	0.1164	0.1008	0.153
1094	7615094						
1095	7615159						
1096	7615471						
1097	7615509						
1098	7615568	0.5531	0.5452	0.6176	0.6142	0.6483	0.67
1099	7615584						
1100	7615655						
1101	7615677						
1102	7615685						
1103	7615687						
1104	7615693						
1105	7615761						
1106	7615825						
1107	7615905						
1108	7615963						
1109	7616486						
1110	7616612						
1111	7616848						
1112	7617163						
1113	7617182						
1114	7617191	0.5635	0.7167	0.6919	0.6872	0.6395	0.6186
1115	7617406						
1116	7617649	0.8151	0.8164	0.814	0.789	0.7462	0.6956
1117	7617702						
1118	7617706						
1119	7617965						
1120	7618086						
1121	7618107						
1122	7618284						
1123	7619078						
1124	7619219						
1125	7619525	1.0	1.0	0.9524	0.9275	0.8479	0.7589
1126	7619574						
1127	7619724						
1128	7620030						
1129	7620118						
1130	7620227						
1131	7620317						
1132	7620615						
1133	7620961						
1134	7620979						
1135	7621403						
1136	7621503						
1137	7621819						
1138	7621834						
1139	7621866						
1140	7621872						
1141	7621907						
1142	7622284						
1143	7622307						
1144	7622413						
1145	7622464						
1146	7622574						
1147	7622620						
1148	7623078						
1149	7623101						
1150	7623112						
1151	7623154						
1152	7623256						
1153	7623470						
1154	7623815						
1155	7623827						
1156	7623831						
1157	7623839						
1158	7623844	0.0	0.0663	0.1139	0.1403	0.1837	0.2193
1159	7623877						
1160	7624020						
1161	7624121						
1162	7624125						
1163	7624128						
1164	7624148						
1165	7624149	0.4852	0.3785	0.3382	0.3491	0.3563	0.4243
1166	7624152	0.0	0.1396	0.2006	0.2352	0.2835	0.2515
1167	7624491						
1168	7624775						
1169	7625078						
1170	7625565						
1171	7625668						
1172	7626065						
1173	7626098						
1174	7626100						
1175	7626113						
1176	7626296						
1177	7626458						
1178	7626501						
1179	7626629						
1180	7627387						
